scope,scenario,run,platform_target_mps,steady_window_start_s,steady_window_end_s,sample_count,requested_median_mps,shaped_median_mps,applied_median_mps,measured_median_mps,measured_p05_mps,measured_p95_mps,planner_semantic_speed_median_mps,stance_kinematic_speed_median_mps,measured_minus_applied_median_mps,measured_minus_planner_semantic_median_mps,measured_minus_stance_kinematic_median_mps,abs_error_planner_median_mps,abs_error_stance_median_mps,planner_closer_fraction,stance_closer_fraction,mean_abs_error_planner_mps,mean_abs_error_stance_mps
run,varying,varying_20260913_131059,1.4,20.0,24.0,2000,1.4,1.4,1.3697598064999998,1.6302401935000002,1.61435778905,1.6528285226000001,1.3697598074285713,1.5565452357142855,0.2604803870000001,0.26048038607142865,0.07369495778571455,0.26048038607142865,0.07369495778571455,0.0,1.0,0.26327303180135725,0.07667801124592871
run,varying,varying_20260913_131059,2.3,36.0,40.0,1999,2.3,2.3,2.164680939,2.635319061,2.5708631679000002,2.6713479545000003,2.164680936,2.4598647,0.470638122,0.47063812500000024,0.17545436100000034,0.47063812500000024,0.17545436100000034,0.0,1.0,0.4607447175870794,0.16619621147659566
run,varying,varying_20260913_131059,2.8,52.0,56.0,2000,2.8,2.8,2.516,3.0519567910000003,2.98221993255,3.1342222489,2.515999998285714,2.859090907142857,0.5305009555,0.5305009544285717,0.18354099521428635,0.5305009544285717,0.18354099521428635,0.0,1.0,0.5294262213600717,0.18452023421878605
run,varying,varying_20260913_131301,0.6,4.0,8.0,2000,0.6,0.6,0.6,0.5661021535,0.5412445183500001,0.598368264,0.5999999971428571,0.6818181785714286,-0.03389784649999994,-0.033897843642857084,-0.11571602507142853,0.033897843642857084,0.11571602507142853,1.0,0.0,0.031727752433499984,0.11285851558892857
run,varying,varying_20260913_131301,1.4,20.0,24.0,2001,1.4,1.4,1.368564784,1.631435216,1.616838571,1.650100385,1.368564786285714,1.555187257142857,0.26287043200000015,0.2628704297142861,0.07624795885714297,0.2628704297142861,0.07624795885714297,0.0,1.0,0.26450385061911913,0.07799274952595146
run,varying,varying_20260913_131301,2.3,36.0,40.0,2000,2.3,2.3,2.1706044195,2.6293955804999998,2.58671706625,2.6763531256,2.1706044202857138,2.466595932142857,0.45879116099999995,0.458791160214286,0.16279964835714322,0.458791160214286,0.16279964835714322,0.0,1.0,0.4591432537989288,0.16359564564150023
run,varying,varying_20260913_131301,2.8,52.0,56.0,2000,2.8,2.8,2.598857143,3.146366815,3.1120422637000003,3.2062459520999997,2.59885714,2.95324675,0.548245077,0.5482450757857145,0.19516973921428615,0.5482450757857145,0.19516973921428615,0.0,1.0,0.549004609541143,0.1939736072395718
repeat_pool,steps,3_repeats,1.0,20.0,24.0,5999,1.0,1.0,1.0,1.191845165,1.1307984139,1.2210279297,0.9999999994285714,1.1363636357142857,0.19184516499999993,0.1918451655714285,0.05548152928571426,0.1918451655714285,0.05548152928571426,0.0,1.0,0.18969010166134834,0.055675668705236644
repeat_pool,steps,3_repeats,2.0,36.0,40.0,6000,2.0,2.0,1.9029597415000001,2.2970402585,2.26033404785,2.33266010395,1.9029597431428569,2.162454253571428,0.394080517,0.39408051535714317,0.13458600492857187,0.39408051535714317,0.13458600492857187,0.0,1.0,0.39520440549335734,0.13579133807411925
repeat_pool,steps,3_repeats,3.0,52.0,56.0,6001,3.0,3.0,2.508,3.036051484,2.925350576,3.154147874,2.508,2.85,0.504824867,0.504824868714286,0.1556668572857145,0.504824868714286,0.1556668572857145,0.0,1.0,0.4991646325617875,0.15332090943045246
