scenario,run,transition_s,transition_endpoint_s,from_mps,to_mps,offset_s,row_t_rel_s,alignment_abs_error_s,t_rel_s,cmd_time_s,cycle_index,requested_mps,shaped_mps,applied_mps,measured_mps,period_s,duty,schedule_step_m,foot_lift_m,planner_semantic_speed_mps,stance_kinematic_speed_mps,measured_minus_applied_mps,measured_minus_planner_semantic_mps,measured_minus_stance_kinematic_mps,shaped_minus_applied_mps,measured_minus_shaped_mps,tracking_lead_mps,overspeed_mps,kernel_velocity_error_mps,touchdown_target_fr_m,touchdown_target_fl_m,touchdown_target_rr_m,touchdown_target_rl_m,kernel_footstep_plan_valid,wbc_full_velocity_target_mps,wbc_full_requested_acc_mps2,wbc_full_srbd_acc_mps2,wbc_full_id_contact_force_n,wbc_full_srbd_ok,wbc_full_id_ok,wbc_shadow_solver_ok
steps,steps_20260913_130640,8.0,16.0,0.0,1.0,0.25,8.249999812,1.879999995679782e-07,8.249999812,12.550074492,58.0,0.031249976,0.031249976,0.031249976,-0.033983266,0.14,0.44,0.004971587,6.4652e-05,0.031249975428571428,0.03551133571428571,-0.065233242,-0.06523324142857143,-0.0694946017142857,0.0,-0.065233242,0.2,-0.065233242,-0.048983484,-0.001009185,-0.001470475,-0.001470475,-0.001009185,1.0,0.0,1.464113239,1.464113239,17.103565343,1.0,1.0,1.0
steps,steps_20260913_130640,8.0,16.0,0.0,1.0,0.5,8.500001292,1.292000000319149e-06,8.500001292,12.800075972,60.0,0.062500161,0.062500161,0.062500161,-0.004205407,0.14,0.44,0.009943208,0.000256801,0.06250016457142857,0.07102291428571428,-0.06670556799999999,-0.06670557157142856,-0.07522832128571427,0.0,-0.06670556799999999,0.2,-0.06670556799999999,-0.054454907,-0.002792222,-0.002555193,-0.002555193,-0.002792222,1.0,0.0,1.517463383,1.517463383,11.29620271,1.0,1.0,1.0
steps,steps_20260913_130640,8.0,16.0,0.0,1.0,1.0,8.999999245,7.550000002964907e-07,8.999999245,13.300073925,64.0,0.124999906,0.124999906,0.124999906,0.036001175,0.14,0.44,0.019886349,0.00101273,0.12499990799999999,0.14204535,-0.088998731,-0.088998733,-0.10604417499999999,0.0,-0.088998731,0.2,-0.088998731,-0.083999038,-0.00351313,-0.001885149,-0.001885149,-0.00351313,1.0,0.0,2.211668871,2.211668871,9.799101991,1.0,1.0,1.0
steps,steps_20260913_130640,24.0,32.0,1.0,2.0,0.0,24.000001488000002,1.488000002325407e-06,24.000001488000002,28.300076168,171.0,1.000000186,1.000000186,1.000000186,1.141133372,0.14,0.44,0.159090939,0.051851868,1.0000001879999998,1.1363638499999997,0.14113318600000002,0.1411331840000003,0.004769522000000359,0.0,0.14113318600000002,0.2,0.14113318600000002,0.141133372,0.033777843,0.035514192,0.035514192,0.033777843,1.0,0.0,-1.909210026,-1.909210026,7.070923119,1.0,1.0,1.0
steps,steps_20260913_130640,24.0,32.0,1.0,2.0,0.25,24.250000921,9.210000015968944e-07,24.250000921,28.550075601,173.0,1.031250115,1.031250115,1.031250115,1.179356269,0.14,0.44,0.164062518,0.054650889,1.0312501131428569,1.1718751285714284,0.14810615399999993,0.14810615585714304,0.007481140428571509,0.0,0.14810615399999993,0.2,0.14810615399999993,0.151856239,0.035207847,0.037719152,0.037719152,0.035207847,1.0,0.0,-2.910692398,-2.910692398,1.953240922,1.0,1.0,1.0
steps,steps_20260913_130640,24.0,32.0,1.0,2.0,0.5,24.499995124999998,4.875000001902663e-06,24.499995124999998,28.800069805,174.0,1.062499391,1.062499391,1.062499391,1.221605762,0.14,0.44,0.169033994,0.05749054,1.0624993908571427,1.2073856714285713,0.15910637100000002,0.1591063711428573,0.0142200905714287,0.0,0.15910637100000002,0.2,0.15910637100000002,0.176605651,0.03924766,0.037262344,0.037262344,0.03924766,1.0,0.0,0.0,0.0,1.261621724,1.0,1.0,1.0
steps,steps_20260913_130640,24.0,32.0,1.0,2.0,1.0,25.000005909000002,5.909000002191078e-06,25.000005909000002,29.300080589,178.0,1.125000739,1.125000739,1.125000739,1.308865169,0.14,0.44,0.17897739,0.063281319,1.125000737142857,1.2784099285714283,0.18386442999999986,0.18386443185714296,0.030455240428571617,0.0,0.18386442999999986,0.2,0.18386442999999986,0.19361572,0.041956728,0.041906559,0.041906559,0.041956728,1.0,0.0,-3.132100597,-3.132100597,-7.758815135,1.0,1.0,1.0
steps,steps_20260913_130640,40.0,48.0,2.0,3.0,0.0,40.000005175,5.174999998303065e-06,40.000005175,44.300079855,285.0,2.000000647,2.000000647,1.906386999,2.293614295,0.14,0.44,0.303288841,0.139644404,1.9063870005714283,2.166348864285714,0.38722729599999983,0.3872272944285715,0.12726543071428598,0.09361364799999983,0.293613648,0.2,0.293613648,0.398779433,0.076955227,0.076730282,0.076730282,0.076955227,1.0,1.906386999,-3.872272961,-3.217327506,-18.772521567,1.0,1.0,1.0
steps,steps_20260913_130640,40.0,48.0,2.0,3.0,0.25,40.250001911,1.9109999982447334e-06,40.250001911,44.550076591,287.0,2.031250239,2.031250239,1.93901001,2.323490467,0.14,0.44,0.308478865,0.142647515,1.9390100085714284,2.203420464285714,0.384480457,0.3844804584285717,0.12007000271428625,0.09224022899999973,0.29224022800000027,0.2,0.29224022800000027,0.39123641,0.075819437,0.071579239,0.071579239,0.075819437,1.0,1.93901001,-3.844804572,0.0,0.806516763,1.0,1.0,1.0
steps,steps_20260913_130640,40.0,48.0,2.0,3.0,0.5,40.499994961,5.039000001261229e-06,40.499994961,44.800069641,289.0,2.06249937,2.06249937,1.946283299,2.378715441,0.14,0.44,0.309635979,0.143311505,1.9462832965714285,2.2116855642857143,0.43243214200000013,0.4324321444285717,0.16702987671428593,0.11621607099999975,0.3162160710000004,0.2,0.3162160710000004,0.426918777,0.078480606,0.071232549,0.071232549,0.078480606,1.0,1.946283299,-4.0,-2.440032667,12.410896571,1.0,1.0,1.0
